X,Mean,Mean + Std Dev,Mean - Std Dev,Std Dev
0.0,2.47e-07,1.97e-06,-1.48e-06,1.73e-06
0.043,5.27e-07,2.24e-06,-1.18e-06,1.71e-06
0.0859,9.26e-06,1.39e-05,4.65e-06,4.61e-06
0.129,1.36e-05,2.04e-05,6.73e-06,6.84e-06
0.172,1.07e-05,1.61e-05,5.39e-06,5.34e-06
0.215,1.23e-05,1.85e-05,6.18e-06,6.14e-06
0.258,1.17e-05,1.75e-05,5.89e-06,5.8e-06
0.301,1.2e-05,1.8e-05,6.09e-06,5.96e-06
0.344,1.2e-05,1.79e-05,6.08e-06,5.92e-06
0.387,1.21e-05,1.81e-05,6.16e-06,5.96e-06
0.43,1.22e-05,1.81e-05,6.2e-06,5.97e-06
0.473,1.22e-05,1.82e-05,6.26e-06,5.99e-06
0.516,1.23e-05,1.83e-05,6.31e-06,6.01e-06
0.559,1.24e-05,1.84e-05,6.36e-06,6.03e-06
0.602,1.25e-05,1.85e-05,6.42e-06,6.05e-06
0.645,1.25e-05,1.86e-05,6.47e-06,6.07e-06
0.688,1.26e-05,1.87e-05,6.52e-06,6.09e-06
0.731,1.27e-05,1.88e-05,6.58e-06,6.12e-06
0.774,1.28e-05,1.89e-05,6.63e-06,6.14e-06
0.817,1.28e-05,1.9e-05,6.69e-06,6.16e-06
0.859,1.29e-05,1.91e-05,6.74e-06,6.18e-06
0.902,1.3e-05,1.92e-05,6.8e-06,6.2e-06
0.945,1.31e-05,1.93e-05,6.86e-06,6.22e-06
0.988,1.31e-05,1.94e-05,6.91e-06,6.23e-06
1.03,1.32e-05,1.95e-05,6.97e-06,6.25e-06
1.07,1.33e-05,1.96e-05,7.02e-06,6.27e-06
1.12,1.34e-05,1.97e-05,7.08e-06,6.29e-06
1.16,1.34e-05,1.97e-05,7.13e-06,6.3e-06
1.2,1.35e-05,1.98e-05,7.19e-06,6.32e-06
1.25,1.36e-05,1.99e-05,7.24e-06,6.34e-06
1.29,1.37e-05,2e-05,7.3e-06,6.35e-06
1.33,1.37e-05,2.01e-05,7.35e-06,6.37e-06
1.38,1.38e-05,2.02e-05,7.41e-06,6.39e-06
1.42,1.39e-05,2.03e-05,7.46e-06,6.41e-06
1.46,1.39e-05,2.04e-05,7.51e-06,6.43e-06
1.5,1.4e-05,2.05e-05,7.57e-06,6.45e-06
1.55,1.41e-05,2.06e-05,7.62e-06,6.47e-06
1.59,1.42e-05,2.07e-05,7.67e-06,6.49e-06
1.63,1.42e-05,2.08e-05,7.73e-06,6.51e-06
1.68,1.43e-05,2.08e-05,7.78e-06,6.53e-06
1.72,1.44e-05,2.09e-05,7.83e-06,6.55e-06
1.76,1.45e-05,2.1e-05,7.89e-06,6.57e-06
1.8,1.45e-05,2.11e-05,7.94e-06,6.59e-06
1.85,1.46e-05,2.12e-05,7.99e-06,6.61e-06
1.89,1.47e-05,2.13e-05,8.05e-06,6.63e-06
1.93,1.47e-05,2.14e-05,8.1e-06,6.64e-06
1.98,1.48e-05,2.15e-05,8.15e-06,6.66e-06
2.02,1.49e-05,2.16e-05,8.2e-06,6.67e-06
2.06,1.49e-05,2.16e-05,8.26e-06,6.69e-06
2.11,1.5e-05,2.17e-05,8.31e-06,6.71e-06
